Article_ID,WMS_Quantity,Calculated_Quantity,AMG_Destination,Difference
0P9AA3MM,1,0,"TABLET AT2050 11.6"" 4GB RAM/ 128 GB SSD/WIFI/BT NFC       ",-1
0AC702FI,5,6,KIT I/O SKU 1-24 PER XELF                                 ,1
0P9GA0FI,31,29,"PP-9735/T/15"" CEL J6412      GALAXY GREY                  ",-2
0P9914IY,5,3,"PANEL PC 21,5""  T I5-10210U  IP65 RAM 1920*1080           ",-2
17301400,2,1,"SODIMM DDR3 8GB PC3-12800 NOPARITY, 1,35V                 ",-1
45503176,84,43,SSD M.2 500GB SATA 2280      TRANSCEND                    ,-41
0AC902LE,41,10,SCHERMO PROTETTIVO TAB K10   LENOVO                       ,-31
45503157,1,3,SSD MSATA 128GB IY INDUSTRIALPANEL PC                     ,2
54643030,61,60,CUFFIA DX IN FOAM            PER TOTEM                    ,-1
54643033,22,21,CUFFIA SX SELF CHECK-OUT FOAM480X230X30+103MM             ,-1
0AC712FI,7,8,"LED STATUS BAR W/CAMERA 22""  PER XELF                     ",1
54642005,1340,1428,SACCHETTO PVC TRASPARENTE    (60+10+10X75) TANK           ,88
0SW816MI,330,173,LICENSE WIN.10 IOT 2021 LTSC VALUE EPKEA ESD              ,-157
22303008,314,315,FERRITE PER CAVO TONDO D=5   RICHIUDIBILE                 ,1
40141308,13,15,"CAVO ANTENNA MHF-4 TO SMA (F)D=0,81MM L=20CM              ",2
58102169,132,131,MINI PCI-E HALF TO FULL SIZE BRACKET                      ,-1
91208460,56,40,DUAL BAND WIRELESS AX210 2X2 INTEL                        ,-16
57002000,7362,7310,PIEDINI IN GOMMA PER GDT 7XX/9XX NERO                     ,-52
14886950,7,11,"MCP CORE I5-12500 3,00 GHZ   LGA1700/18MB CACHE           ",4
66319006,5133,5128,VITE M3 X 6 BLACK ZINC PLATEDW/CROSS PAN WASHER HEAD      ,-5
66319015,980,28,VITI M4X8                                                 ,-952
17301772,5,4,SODIMM DDR4 16GB JM 3200MHZ  1RX8 2GX8 CL22 1.2V          ,-1
17301810,32,31,DIMM DDR5 16GB 4800MHZ NON-ECC UNBUFFERED 288PIN TRANSCEND,-1
0AC955AS,10,9,DVD+/-RW DRW-24D5MT/SATA     ASUS NERO                    ,-1
14887030,53,38,"MCP CORE I3-12100 3,30 GHZ   FCLGA1700/12MB CACHE         ",-15
RFI13409,3,4,M.B. FIR-ULV1000 0 Cache     RH9000MB0581                 ,1
0P99M4KM,2,0,"WITOUCH CORE-6E WHITE 21,5""/T/0MCP/4GB RAM MCM            ",-2
45503149,20,24,"SSD 2,5"" 120GB/SATA3         TRANSCEND                    ",4
