Article_ID,Area,Scaffale,Colonna,Piano,Quantity,Location
45503142,A,C,04,1,7,A-C-04-1
45503142,A,C,07,4,24,A-C-07-4
45503142,A,E,02,4,7,A-E-02-4
45503142,A,X,01,0,4,A-X-01-0
0AC528SU,A,C,05,2,7,A-C-05-2
0AC528SU,A,X,01,0,1,A-X-01-0
0PF3TY03,A,C,04,5,29,A-C-04-5
0PF3TY03,A,C,05,1,4,A-C-05-1
0AC602MC,A,B,07,1,188,A-B-07-1
51702267,A,B,06,1,457,A-B-06-1
51702267,A,X,01,0,5,A-X-01-0
42001225,A,B,06,1,27,A-B-06-1
42001225,A,X,01,0,1,A-X-01-0
0AC48820,A,A,03,1,3,A-A-03-1
0AC48820,A,C,01,2,1307,A-C-01-2
0AC48820,A,X,01,0,3,A-X-01-0
0AC919FI,A,A,06,2,3,A-A-06-2
0AC919FI,A,B,03,3,6,A-B-03-3
0AC919FI,A,B,04,3,44,A-B-04-3
0AC919FI,A,B,05,4,25,A-B-05-4
0AC919FI,A,B,06,2,5,A-B-06-2
0AC919FI,A,B,06,4,33,A-B-06-4
0AC919FI,A,X,01,0,197,A-X-01-0
0SW819MI,A,E,05,3,264,A-E-05-3
0SW819MI,A,X,01,0,126,A-X-01-0
0AC637LG,A,D,02,5,90,A-D-02-5
RFI36033,A,D,01,3,2,A-D-01-3
17301611,A,D,01,1,1,A-D-01-1
52536138,A,E,01,2,16,A-E-01-2
66319017,A,C,01,2,1800,A-C-01-2
91079165,A,X,01,0,1,A-X-01-0
54476110,A,B,01,3,150,A-B-01-3
54476110,A,C,05,4,66,A-C-05-4
0AC722FI,A,B,03,1,1,A-B-03-1
56572010,A,E,04,5,73,A-E-04-5
45503155,A,E,03,5,34,A-E-03-5
91208400,A,E,03,3,2,A-E-03-3
91208440,A,E,03,3,3,A-E-03-3
66319001,A,E,03,1,2470,A-E-03-1
66319003,A,E,03,1,3452,A-E-03-1
66319009,A,E,03,1,432,A-E-03-1
0P9EIBFI,A,S,01,0,1,A-S-01-0
0AC41700,A,E,04,5,50,A-E-04-5
0P9EN0FI,A,C,03,1,1,A-C-03-1
0P9EN0FI,A,X,01,0,1,A-X-01-0
17301872,A,C,04,1,4,A-C-04-1
17301872,A,E,01,3,2,A-E-01-3
40800397,A,C,07,2,7,A-C-07-2
40800356,A,C,07,2,1,A-C-07-2
40800356,A,X,01,0,1,A-X-01-0
45503122,A,B,05,3,6,A-B-05-3
45503122,A,B,06,2,6,A-B-06-2
45503122,A,C,02,4,17,A-C-02-4
45503122,A,D,01,2,2,A-D-01-2
45503122,A,D,01,3,1,A-D-01-3
45503122,A,E,02,4,66,A-E-02-4
45503122,A,X,01,0,7,A-X-01-0
40140091,A,D,02,4,213,A-D-02-4
40141486,A,D,02,2,127,A-D-02-2
40141486,A,X,01,0,1,A-X-01-0
42001223,A,D,01,6,1,A-D-01-6
0P9909KM,A,A,03,2,10,A-A-03-2
51702276,A,A,07,1,13,A-A-07-1
54643034,A,A,04,1,21,A-A-04-1
58102170,A,A,04,1,11,A-A-04-1
0SW822MI,A,E,05,3,163,A-E-05-3
0SW812MI,A,E,05,3,18,A-E-05-3
22303004,A,E,03,5,338,A-E-03-5
0AC100TT,A,E,03,3,110,A-E-03-3
14886820,A,E,03,2,10,A-E-03-2
66319014,A,E,03,1,2480,A-E-03-1
RFI36030,A,X,01,0,2,A-X-01-0
0SW948MI,A,E,04,3,50,A-E-04-3
45503137,A,S,01,0,2,A-S-01-0
0AC610FI,A,B,02,3,9,A-B-02-3
0AC610FI,A,S,01,0,1,A-S-01-0
91208321,A,E,03,3,16,A-E-03-3
91208321,A,S,01,0,1,A-S-01-0
RFI13444,A,R,02,3,2,A-R-02-3
RFI13428,A,R,02,2,1,A-R-02-2
RFI29908,A,R,03,1,8,A-R-03-1
0AC559FI,A,A,01,4,51,A-A-01-4
0AC559FI,A,C,02,2,1,A-C-02-2
0AC730FI,A,C,03,2,40,A-C-03-2
0P9AC0GL,A,C,06,1,6,A-C-06-1
0P9AC0GL,A,X,01,0,1,A-X-01-0
17301840,A,C,06,1,1,A-C-06-1
17301840,A,D,01,4,2,A-D-01-4
17301840,A,E,01,3,144,A-E-01-3
17301840,A,X,01,0,1,A-X-01-0
0AC101GL,A,C,06,1,1,A-C-06-1
0AC101GL,A,X,01,0,1,A-X-01-0
40800388,A,C,07,2,114,A-C-07-2
51702278,A,B,06,1,259,A-B-06-1
0AC719FI,A,B,03,1,107,A-B-03-1
0AC719FI,A,X,01,0,1,A-X-01-0
0AC101ES,A,C,01,2,7444,A-C-01-2
0AC717FI,A,B,02,1,8,A-B-02-1
0AC717FI,A,B,02,3,18,A-B-02-3
0AC717FI,A,B,03,3,18,A-B-03-3
0AC717FI,A,X,01,0,1,A-X-01-0
0PF3TY02,A,A,06,4,40,A-A-06-4
0PF3TY02,A,A,07,2,2,A-A-07-2
0PF3TY02,A,X,01,0,2,A-X-01-0
0SW815MI,A,E,05,3,189,A-E-05-3
0SW947MI,A,E,05,3,225,A-E-05-3
22303000,A,E,03,5,805,A-E-03-5
25042010,A,E,03,4,51,A-E-03-4
25042010,A,S,01,0,1,A-S-01-0
61920001,A,E,03,1,8290,A-E-03-1
61920001,A,X,01,0,4,A-X-01-0
45503174,A,E,02,5,46,A-E-02-5
45503131,A,E,02,4,6,A-E-02-4
14886910,A,E,02,2,5,A-E-02-2
14886910,A,X,01,0,1,A-X-01-0
0P9A01DF,A,B,01,1,1,A-B-01-1
0SK12205,A,S,01,0,1,A-S-01-0
CCOMP334,A,S,01,0,1,A-S-01-0
0P9DUDFI,A,X,01,0,2,A-X-01-0
40141458,A,D,02,2,141,A-D-02-2
53042324,A,X,01,0,1180,A-X-01-0
17301341,A,A,05,2,2,A-A-05-2
17301341,A,C,03,1,1,A-C-03-1
17301341,A,C,07,1,1,A-C-07-1
17301341,A,D,01,1,2,A-D-01-1
17301341,A,E,01,5,1,A-E-01-5
17301341,A,E,02,3,1,A-E-02-3
17301341,A,R,03,5,2,A-R-03-5
17301341,A,S,01,0,1,A-S-01-0
RKM35905,A,R,03,5,9,A-R-03-5
0AC593FI,A,C,02,2,3,A-C-02-2
17301722,A,A,02,2,3,A-A-02-2
17301722,A,A,03,2,2,A-A-03-2
17301722,A,C,04,1,3,A-C-04-1
17301722,A,E,02,3,10,A-E-02-3
17301722,A,X,01,0,3,A-X-01-0
0AC512SU,A,C,05,3,8,A-C-05-3
0AC512SU,A,X,01,0,1,A-X-01-0
40800354,A,C,07,2,14,A-C-07-2
40800354,A,C,07,3,130,A-C-07-3
40800354,A,X,01,0,1,A-X-01-0
51702268,A,B,07,1,175,A-B-07-1
51702268,A,X,01,0,1,A-X-01-0
45503164,A,B,02,1,10,A-B-02-1
45503164,A,B,02,4,15,A-B-02-4
45503164,A,B,03,3,6,A-B-03-3
45503164,A,B,03,4,15,A-B-03-4
45503164,A,B,04,2,11,A-B-04-2
45503164,A,B,04,3,44,A-B-04-3
45503164,A,B,04,4,45,A-B-04-4
45503164,A,B,05,3,4,A-B-05-3
45503164,A,B,05,4,55,A-B-05-4
45503164,A,B,06,2,12,A-B-06-2
45503164,A,B,06,3,21,A-B-06-3
45503164,A,B,06,4,43,A-B-06-4
45503164,A,D,01,2,1,A-D-01-2
45503164,A,E,02,5,191,A-E-02-5
45503164,A,S,01,0,5,A-S-01-0
45503164,A,X,01,0,313,A-X-01-0
45503175,A,E,01,4,207,A-E-01-4
45503175,A,X,01,0,4,A-X-01-0
0AC721FI,A,B,03,1,7,A-B-03-1
0AC721FI,A,X,01,0,1,A-X-01-0
0AC575FI,A,X,01,0,1,A-X-01-0
54476265,A,A,07,3,945,A-A-07-3
54476265,A,C,04,5,240,A-C-04-5
54476265,A,C,06,5,480,A-C-06-5
54476265,A,X,01,0,20,A-X-01-0
54476273,A,C,03,5,265,A-C-03-5
54476273,A,X,01,0,32,A-X-01-0
0P9ETIFI,A,D,01,3,1,A-D-01-3
91062260,A,E,01,3,1,A-E-01-3
17301851,A,B,04,2,5,A-B-04-2
17301851,A,B,05,2,1,A-B-05-2
17301851,A,E,01,3,46,A-E-01-3
0AC901MM,A,A,07,2,1,A-A-07-2
0AC901MM,A,S,01,0,1,A-S-01-0
0AC901MM,A,X,01,0,1,A-X-01-0
0MN863FI,A,A,02,3,39,A-A-02-3
0MN863FI,A,B,05,3,13,A-B-05-3
94900334,A,A,01,4,51,A-A-01-4
0AC110IN,A,A,06,2,17,A-A-06-2
0AC810AE,A,A,05,1,18,A-A-05-1
0AC810AE,A,A,08,4,15,A-A-08-4
0AC810AE,A,X,01,0,1,A-X-01-0
42001227,A,A,07,1,460,A-A-07-1
54476129,A,C,02,5,180,A-C-02-5
54476129,A,C,03,5,90,A-C-03-5
54476129,A,C,04,5,90,A-C-04-5
54476129,A,C,05,5,61,A-C-05-5
54476129,A,C,07,4,61,A-C-07-4
54642006,A,C,05,4,5399,A-C-05-4
94902011,A,E,05,2,6,A-E-05-2
51742041,A,E,04,5,32,A-E-04-5
0SW946MI,A,E,04,3,62,A-E-04-3
0AC103AU,A,E,04,3,53,A-E-04-3
REC29901,A,E,04,3,112,A-E-04-3
91208420,A,E,03,3,16,A-E-03-3
66319008,A,E,03,1,2194,A-E-03-1
66319008,A,X,01,0,4,A-X-01-0
45503168,A,E,02,5,32,A-E-02-5
14887020,A,E,02,2,208,A-E-02-2
0P9EHBFI,A,X,01,0,2,A-X-01-0
RA9000XC-4586,A,B,07,2,2,A-B-07-2
RA9000XC-4586,A,S,01,0,1,A-S-01-0
RAO13504,A,R,01,5,1,A-R-01-5
RFI90001,A,R,02,2,1,A-R-02-2
0AC901FI,A,C,03,2,375,A-C-03-2
0AC923FI,A,C,03,2,3,A-C-03-2
40141042,A,C,04,2,54,A-C-04-2
45503154,A,C,06,1,1,A-C-06-1
45503154,A,E,03,5,118,A-E-03-5
45503154,A,X,01,0,1,A-X-01-0
0MN851ZH,A,C,06,1,1,A-C-06-1
23330043,A,A,03,1,7,A-A-03-1
23330043,A,C,01,2,1623,A-C-01-2
23330043,A,X,01,0,4,A-X-01-0
14887021,A,B,02,4,15,A-B-02-4
14887021,A,B,03,3,6,A-B-03-3
14887021,A,B,04,3,44,A-B-04-3
14887021,A,B,05,2,18,A-B-05-2
14887021,A,B,06,3,9,A-B-06-3
14887021,A,B,06,4,8,A-B-06-4
14887021,A,D,01,2,1,A-D-01-2
14887021,A,E,02,2,18,A-E-02-2
14887021,A,S,01,0,1,A-S-01-0
14887021,A,X,01,0,50,A-X-01-0
17301850,A,E,01,3,47,A-E-01-3
54643031,A,C,06,5,320,A-C-06-5
54643031,A,X,01,0,122,A-X-01-0
XM3010W-00100,A,B,07,2,20,A-B-07-2
45503181,A,B,05,2,18,A-B-05-2
45503181,A,B,06,3,7,A-B-06-3
45503181,A,E,02,5,8,A-E-02-5
0AC710FI,A,B,01,3,60,A-B-01-3
0AC710FI,A,B,03,2,3,A-B-03-2
0P9919KM,A,A,02,3,12,A-A-02-3
0P9919KM,A,A,03,3,36,A-A-03-3
0P9919KM,A,A,03,4,18,A-A-03-4
0P9919KM,A,A,04,2,12,A-A-04-2
0P9919KM,A,A,04,3,12,A-A-04-3
0P9919KM,A,A,06,3,12,A-A-06-3
0P9919KM,A,A,06,4,18,A-A-06-4
0P9919KM,A,A,08,3,12,A-A-08-3
0P9919KM,A,A,08,4,18,A-A-08-4
0AC715FI,A,B,02,1,20,A-B-02-1
RKM12101,A,C,01,5,8,A-C-01-5
53042292,A,E,04,4,208,A-E-04-4
0AC49100,A,E,04,4,121,A-E-04-4
0AC49100,A,S,01,0,1,A-S-01-0
66319016,A,E,03,1,780,A-E-03-1
0TA92500,A,X,01,0,1,A-X-01-0
0AC407FI,A,E,03,3,162,A-E-03-3
0AC407FI,A,S,01,0,2,A-S-01-0
RA9000XC4289B,A,R,02,4,3,A-R-02-4
RFI22006,A,R,02,3,20,A-R-02-3
0AC720FI,A,C,03,2,3,A-C-03-2
0AC926FI,A,C,03,2,38,A-C-03-2
40141490,A,C,04,2,4,A-C-04-2
0AC50811,A,C,04,1,66,A-C-04-1
0AC50811,A,X,01,0,1,A-X-01-0
0AC503SU,A,C,05,2,16,A-C-05-2
0AC503SU,A,X,01,0,1,A-X-01-0
0AC510SU,A,C,05,2,16,A-C-05-2
0AC521SU,A,C,05,2,18,A-C-05-2
0AC521SU,A,X,01,0,1,A-X-01-0
91061400,A,C,06,2,28,A-C-06-2
91061400,A,X,01,0,2,A-X-01-0
51702264,A,B,07,1,148,A-B-07-1
51702275,A,B,07,1,69,A-B-07-1
14886771,A,B,06,2,6,A-B-06-2
14886771,A,D,01,3,1,A-D-01-3
14886771,A,E,02,2,5,A-E-02-2
14886771,A,X,01,0,1,A-X-01-0
0P9GABFI,A,X,01,0,2,A-X-01-0
0AC705FI,A,B,02,2,29,A-B-02-2
0AC705FI,A,D,01,1,2,A-D-01-1
0AC705FI,A,X,01,0,2,A-X-01-0
0P9EF6FI,A,B,03,4,15,A-B-03-4
0P9EF6FI,A,B,04,4,45,A-B-04-4
0P9EF6FI,A,X,01,0,79,A-X-01-0
91061710,A,A,02,3,12,A-A-02-3
91061710,A,A,03,3,36,A-A-03-3
91061710,A,A,03,4,18,A-A-03-4
91061710,A,A,04,2,12,A-A-04-2
91061710,A,A,04,3,36,A-A-04-3
91061710,A,A,04,4,18,A-A-04-4
91061710,A,A,06,3,12,A-A-06-3
91061710,A,A,06,4,18,A-A-06-4
91061710,A,A,08,3,12,A-A-08-3
91061710,A,A,08,4,18,A-A-08-4
91061710,A,X,01,0,12,A-X-01-0
0AC618MI,A,B,01,1,8,A-B-01-1
0AC618MI,A,D,03,4,8,A-D-03-4
40141465,A,D,02,1,95,A-D-02-1
0MN861FI,A,A,05,2,17,A-A-05-2
0MN861FI,A,D,01,4,1,A-D-01-4
0P9EQ4FI,A,D,01,4,1,A-D-01-4
52512001,A,B,01,1,2,A-B-01-1
52512001,A,E,01,2,2,A-E-01-2
45503165,A,A,04,2,11,A-A-04-2
45503165,A,E,02,4,4,A-E-02-4
91208422,A,A,02,3,12,A-A-02-3
91208422,A,A,03,3,36,A-A-03-3
91208422,A,A,03,4,18,A-A-03-4
91208422,A,A,04,2,12,A-A-04-2
91208422,A,A,04,3,36,A-A-04-3
91208422,A,A,04,4,18,A-A-04-4
91208422,A,A,06,3,12,A-A-06-3
91208422,A,A,06,4,18,A-A-06-4
91208422,A,A,08,3,12,A-A-08-3
91208422,A,A,08,4,18,A-A-08-4
91208422,A,S,01,0,2,A-S-01-0
91208422,A,X,01,0,12,A-X-01-0
0P9GA1FI,A,B,05,3,4,A-B-05-3
0P9GA1FI,A,B,06,2,7,A-B-06-2
0P9GA1FI,A,B,06,4,20,A-B-06-4
0P9GA1FI,A,S,01,0,3,A-S-01-0
0P9GA1FI,A,X,01,0,107,A-X-01-0
17301701,A,B,06,2,14,A-B-06-2
17301701,A,C,02,4,17,A-C-02-4
17301701,A,E,02,3,12,A-E-02-3
17301701,A,S,01,0,1,A-S-01-0
17301701,A,X,01,0,1,A-X-01-0
0MN855FI,A,A,05,3,6,A-A-05-3
0MN855FI,A,E,06,3,1,A-E-06-3
RFI13432,A,R,02,2,5,A-R-02-2
0AC100NE,A,C,04,2,1,A-C-04-2
0AC100NE,A,X,01,0,1,A-X-01-0
40141481,A,C,04,2,64,A-C-04-2
0AC40018,A,C,04,2,125,A-C-04-2
0AC40018,A,E,04,3,1,A-E-04-3
0SW821MI,A,C,05,1,4,A-C-05-1
0SW821MI,A,E,05,3,127,A-E-05-3
91061720,A,C,06,2,9,A-C-06-2
91061800,A,C,06,3,130,A-C-06-3
91061800,A,C,06,4,120,A-C-06-4
91061800,A,C,06,5,276,A-C-06-5
91061800,A,S,01,0,1,A-S-01-0
17301721,A,B,02,1,10,A-B-02-1
17301721,A,B,02,4,15,A-B-02-4
17301721,A,B,03,3,6,A-B-03-3
17301721,A,B,03,4,15,A-B-03-4
17301721,A,B,04,2,11,A-B-04-2
17301721,A,B,04,3,44,A-B-04-3
17301721,A,B,04,4,45,A-B-04-4
17301721,A,B,05,2,18,A-B-05-2
17301721,A,B,05,3,4,A-B-05-3
17301721,A,B,05,4,55,A-B-05-4
17301721,A,B,06,2,12,A-B-06-2
17301721,A,B,06,3,35,A-B-06-3
17301721,A,B,06,4,42,A-B-06-4
17301721,A,D,01,2,4,A-D-01-2
17301721,A,D,01,3,1,A-D-01-3
17301721,A,E,02,3,52,A-E-02-3
17301721,A,S,01,0,2,A-S-01-0
17301721,A,X,01,0,293,A-X-01-0
52536111,A,E,01,2,19,A-E-01-2
52536139,A,A,01,2,720,A-A-01-2
52536139,A,E,01,2,138,A-E-01-2
52536139,A,S,01,0,3,A-S-01-0
0AC100IN,A,A,06,2,6,A-A-06-2
0AC803AE,A,A,06,1,36,A-A-06-1
0AC803AE,A,X,01,0,1,A-X-01-0
54643032,A,A,04,1,22,A-A-04-1
0AC513PP,A,A,04,1,4,A-A-04-1
0AC714FI,A,B,02,1,20,A-B-02-1
0AC706FI,A,B,02,1,31,A-B-02-1
54476158,A,C,04,4,21,A-C-04-4
52536140,A,E,02,2,5,A-E-02-2
52536140,A,E,03,2,7,A-E-03-2
52536140,A,E,05,2,96,A-E-05-2
58742024,A,E,04,3,24,A-E-04-3
0ST900EP,A,S,01,0,1,A-S-01-0
0ST900EP,A,X,01,0,23,A-X-01-0
25042012,A,E,03,4,41,A-E-03-4
25042012,A,S,01,0,6,A-S-01-0
61820003,A,E,03,1,1784,A-E-03-1
14887070,A,E,02,2,44,A-E-02-2
45503111,A,S,01,0,1,A-S-01-0
45503111,A,X,01,0,1,A-X-01-0
RFI13427,A,R,01,4,7,A-R-01-4
RFI19916,A,R,03,3,9,A-R-03-3
RFI29916,A,R,03,1,23,A-R-03-1
RFI29916,A,X,01,0,6,A-X-01-0
0AC954FI,A,C,03,3,27,A-C-03-3
0AC955FI,A,C,03,2,4,A-C-03-2
0TA410LG,A,C,04,3,160,A-C-04-3
40141493,A,C,04,2,58,A-C-04-2
40141492,A,C,04,2,58,A-C-04-2
0P9919IY,A,C,04,1,3,A-C-04-1
0P9919IY,A,X,01,0,1,A-X-01-0
0AC523SU,A,C,05,2,1,A-C-05-2
14886890,A,C,05,1,1,A-C-05-1
14886890,A,E,02,1,18,A-E-02-1
14886890,A,X,01,0,1,A-X-01-0
91061201,A,C,06,2,3,A-C-06-2
91061711,A,C,06,3,33,A-C-06-3
91061711,A,S,01,0,3,A-S-01-0
40800387,A,C,07,2,9,A-C-07-2
0AC920FI,A,B,05,2,24,A-B-05-2
0AC920FI,A,B,05,3,4,A-B-05-3
0AC920FI,A,S,01,0,1,A-S-01-0
0AC920FI,A,X,01,0,2,A-X-01-0
0TA911SL,A,B,01,1,10,A-B-01-1
0TA911SL,A,X,01,0,1,A-X-01-0
0SW818MI,A,B,07,2,8,A-B-07-2
0SW818MI,A,B,07,3,5,A-B-07-3
0SW818MI,A,E,05,3,685,A-E-05-3
0SW818MI,A,X,01,0,43,A-X-01-0
0P9920KM,A,A,04,3,24,A-A-04-3
0P9920KM,A,A,04,4,18,A-A-04-4
0P9920KM,A,X,01,0,7,A-X-01-0
0AC635LG,A,D,02,4,104,A-D-02-4
61820004,A,C,01,2,4040,A-C-01-2
0SW806MI,A,A,07,2,1,A-A-07-2
0SW806MI,A,E,05,3,6,A-E-05-3
54476274,A,A,06,3,20,A-A-06-3
54476264,A,A,08,1,12,A-A-08-1
54476264,A,X,01,0,74,A-X-01-0
0AC508CL,A,B,03,1,69,A-B-03-1
61920002,A,E,03,1,2082,A-E-03-1
61920002,A,X,01,0,8,A-X-01-0
91079162,A,X,01,0,9,A-X-01-0
0P9DZBFI,A,S,01,0,1,A-S-01-0
0P99N1KM,A,X,01,0,1,A-X-01-0
0P9918IY,A,X,01,0,1,A-X-01-0
0AC100MP,A,E,01,1,938,A-E-01-1
RFI15310,A,R,02,4,4,A-R-02-4
0ST901FI,A,C,02,3,1,A-C-02-3
0AC947FI,A,C,03,2,9,A-C-03-2
0AC947FI,A,D,01,2,1,A-D-01-2
0AC947FI,A,D,01,4,1,A-D-01-4
0AC947FI,A,S,01,0,2,A-S-01-0
0AC726FI,A,C,03,1,1,A-C-03-1
0AC726FI,A,X,01,0,1,A-X-01-0
0AC101IY,A,C,04,2,5,A-C-04-2
0AC525SU,A,C,05,2,21,A-C-05-2
0AC603MC,A,C,05,1,1,A-C-05-1
0P9AC2GL,A,C,06,1,10,A-C-06-1
91061510,A,C,06,3,7,A-C-06-3
91061510,A,E,01,3,1,A-E-01-3
51702266,A,B,07,1,10,A-B-07-1
94902010,A,B,05,1,307,A-B-05-1
14886900,A,E,02,1,19,A-E-02-1
14886900,A,E,02,2,22,A-E-02-2
14886710,A,X,01,0,1,A-X-01-0
0P9EG2FI,A,B,03,3,6,A-B-03-3
0P9EG2FI,A,B,04,3,44,A-B-04-3
0P9EG2FI,A,B,05,4,25,A-B-05-4
0P9EG2FI,A,S,01,0,1,A-S-01-0
0P9EG2FI,A,X,01,0,69,A-X-01-0
40141463,A,D,02,3,194,A-D-02-3
0TA920KP,A,C,05,5,180,A-C-05-5
0TA920KP,A,D,02,5,43,A-D-02-5
0P9EQ3FI,A,B,02,1,10,A-B-02-1
0P9EQ3FI,A,B,04,2,11,A-B-04-2
0P9EQ3FI,A,B,05,2,18,A-B-05-2
0P9EQ3FI,A,B,06,3,26,A-B-06-3
0P9EQ3FI,A,D,01,2,1,A-D-01-2
17301720,A,D,01,2,1,A-D-01-2
17301720,A,E,02,3,4,A-E-02-3
17301720,A,X,01,0,1,A-X-01-0
45503153,A,D,01,1,1,A-D-01-1
0AC48840,A,A,03,1,1,A-A-03-1
0AC48840,A,C,01,2,335,A-C-01-2
0AC903LE,A,C,01,3,404,A-C-01-3
40800377,A,C,07,3,207,A-C-07-3
40800377,A,X,01,0,1,A-X-01-0
0ST900SB,A,A,02,2,5,A-A-02-2
0ST900SB,A,S,01,0,2,A-S-01-0
RKM12102,A,C,01,5,8,A-C-01-5
45447829,A,E,04,3,1,A-E-04-3
66319005,A,E,03,1,10892,A-E-03-1
45503161,A,E,02,4,9,A-E-02-4
17301761,A,E,02,3,23,A-E-02-3
RCL35000,A,B,01,1,2,A-B-01-1
14886870,A,X,01,0,2,A-X-01-0
0AC10000,A,X,01,0,1,A-X-01-0
0P9917IY,A,X,01,0,1,A-X-01-0
0AC80AAE,A,X,01,0,1,A-X-01-0
17301600,A,E,02,3,1,A-E-02-3
17301600,A,S,01,0,2,A-S-01-0
17301600,A,X,01,0,1,A-X-01-0
0AC50BIN,A,S,01,0,1,A-S-01-0
RZH00120,A,R,03,2,10,A-R-03-2
RFI19928,A,R,02,4,1,A-R-02-4
RA9000XC4493A,A,R,02,3,4,A-R-02-3
RFI29917,A,B,02,2,3,A-B-02-2
RFI29917,A,B,02,3,18,A-B-02-3
RFI29917,A,B,03,2,5,A-B-03-2
RFI29917,A,B,03,3,18,A-B-03-3
RFI29917,A,D,01,1,1,A-D-01-1
RFI29917,A,R,03,1,14,A-R-03-1
0AC561FI,A,C,02,3,82,A-C-02-3
0ST900FI,A,C,02,3,1,A-C-02-3
0ST900FI,A,X,01,0,1,A-X-01-0
91160450,A,C,04,2,9,A-C-04-2
0PF3TX13,A,C,04,1,34,A-C-04-1
0PF3TX13,A,X,01,0,1,A-X-01-0
0AC530SU,A,C,05,2,6,A-C-05-2
0AC530SU,A,X,01,0,1,A-X-01-0
91061200,A,C,06,2,33,A-C-06-2
91061200,A,X,01,0,1,A-X-01-0
40800395,A,C,07,3,149,A-C-07-3
51702277,A,B,06,1,274,A-B-06-1
51702277,A,X,01,0,1,A-X-01-0
45503120,A,B,04,2,5,A-B-04-2
45503120,A,B,05,2,1,A-B-05-2
45503120,A,E,02,4,1,A-E-02-4
45503120,A,X,01,0,3,A-X-01-0
0P9AA3MM,A,A,07,2,1,A-A-07-2
0AC702FI,A,B,02,1,2,A-B-02-1
0AC702FI,A,D,01,1,1,A-D-01-1
0AC702FI,A,X,01,0,2,A-X-01-0
0P9GA0FI,A,B,06,2,5,A-B-06-2
0P9GA0FI,A,B,06,4,13,A-B-06-4
0P9GA0FI,A,X,01,0,13,A-X-01-0
0P9914IY,A,A,02,2,3,A-A-02-2
0P9914IY,A,D,01,2,1,A-D-01-2
0P9914IY,A,X,01,0,1,A-X-01-0
17301400,A,D,01,6,1,A-D-01-6
17301400,A,E,02,3,1,A-E-02-3
